,,visitors,visitors,visitors,reserve_visitors,reserve_visitors,reserve_visitors
,,sum,mean,std,sum,mean,std
day_of_week,holiday,,,,,,
Friday,0,886341,22.889264778038893,16.325202768282935,576793.2747660525,14.895366442838945,9.172486298557267
Friday,1,44667,27.436732186732186,21.24705386012939,40969.59078915807,25.165596307836655,24.317534600294668
Monday,0,461537,16.541359042362554,13.393983527186247,507688.1501558524,18.1954035608864,12.24654942657983
Monday,1,82665,21.86904761904762,17.846306431136878,54083.284960418445,14.307747344026044,4.773753466212693
Saturday,0,990390,26.40617501199808,18.939502848826415,687047.6372031119,18.31833939111374,13.752551795811183
Saturday,1,42738,24.338268792710707,18.73052368651275,22120.56356440394,12.597131870389488,3.667954459878109
Sunday,0,691676,23.839387881712277,20.12281728274604,643027.855121087,22.162675092062006,18.720525153380045
Sunday,1,24310,24.88229273285568,20.3585046791452,14155.156272487413,14.488389224654465,4.173663023025159
Thursday,0,644729,18.54001437814522,14.16887246243119,471152.71923715406,13.548604435288398,5.333451579468135
Thursday,1,74258,23.05433095312015,18.183583238864685,56259.3409690549,17.46642066720115,4.304406330045191
Tuesday,0,622894,17.54235665202208,14.482382808878203,585757.0712400324,16.496481672863368,8.617592078140198
Tuesday,1,13568,26.761341222879686,19.82273828557188,8466.802710482132,16.699808107459827,0.0
Wednesday,0,687276,19.14151232418883,15.309551014625033,527503.7492203598,14.69165155884584,6.415325378509353
Wednesday,1,20604,22.741721854304636,17.568604686289166,15130.026145358604,16.699808107459827,0.0
